,Rok,Miesiąc,Dzień,T_MAX,T_MIN,T_ŚR,Suma dobowa opadów,Średnia wilgotność,Średnia prędkość wiatru,Średnie zachmurzenie,Ciśnienie na stacji
139,2013.0,1.0,16.0,0.8,-2.5,-0.9,2.1,95.8,1.0,8.0,976.4
140,2013.0,1.0,17.0,-0.2,-3.7,-2.3,0.1,89.0,1.7,8.0,979.3
141,2013.0,1.0,18.0,-3.6,-5.4,-4.7,0.7,86.0,2.3,8.0,980.4
142,2013.0,1.0,19.0,-4.5,-7.0,-5.9,0.0,78.5,1.0,8.0,973.6
143,2013.0,1.0,20.0,-2.3,-6.0,-4.2,0.7,82.0,1.0,8.0,972.9
144,2013.0,1.0,21.0,-1.9,-3.6,-2.6,10.6,91.5,2.0,8.0,970.4
145,2013.0,1.0,22.0,-1.9,-5.7,-4.5,4.9,86.8,0.0,8.0,975.2
146,2013.0,1.0,23.0,-4.9,-6.6,-5.9,1.1,84.5,0.0,8.0,979.8
147,2013.0,1.0,24.0,-2.2,-6.7,-5.3,0.3,85.3,0.3,4.7,982.1
148,2013.0,1.0,25.0,-5.1,-7.2,-6.1,0.3,82.3,2.3,8.0,988.3
149,2013.0,1.0,26.0,-6.0,-8.4,-7.3,0.0,81.0,2.0,8.0,988.4
150,2013.0,1.0,27.0,-5.2,-9.9,-7.6,0.0,85.5,0.7,7.0,983.9
151,2013.0,1.0,28.0,0.2,-7.8,-3.1,2.9,88.3,1.0,8.0,984.2
152,2013.0,1.0,29.0,4.3,-2.0,0.9,1.0,86.5,1.0,7.3,984.9
153,2013.0,1.0,30.0,6.3,1.4,3.9,8.9,92.8,1.0,7.3,980.2
154,2013.0,1.0,31.0,8.4,2.8,5.3,1.3,64.5,3.3,6.3,979.1
155,2014.0,1.0,1.0,1.6,-1.1,0.3,0.0,94.5,0.7,7.3,990.5
156,2014.0,1.0,2.0,3.2,-5.3,-1.5,0.0,89.5,1.0,4.3,984.9
157,2014.0,1.0,3.0,8.0,-1.5,2.0,0.0,88.5,0.3,1.7,986.7
158,2014.0,1.0,4.0,7.4,-1.7,2.7,1.7,88.5,0.3,6.0,986.8
159,2014.0,1.0,5.0,9.5,4.4,7.0,0.9,87.8,0.7,7.0,979.0
160,2014.0,1.0,6.0,9.1,2.9,5.1,0.0,87.0,0.3,3.7,988.9
161,2014.0,1.0,7.0,6.7,-0.6,2.6,0.0,92.3,0.7,5.0,990.8
162,2014.0,1.0,8.0,10.2,-0.2,4.7,0.1,85.3,0.7,4.3,992.0
163,2014.0,1.0,9.0,8.7,1.0,4.2,4.9,91.3,0.3,7.0,986.6
164,2014.0,1.0,10.0,8.3,4.5,6.5,0.4,74.3,3.7,6.3,982.6
165,2014.0,1.0,11.0,8.3,3.7,5.4,1.8,59.5,2.0,5.0,987.6
166,2014.0,1.0,12.0,7.3,3.1,4.4,0.1,65.8,3.7,7.0,987.1
167,2014.0,1.0,13.0,4.7,0.4,1.8,0.0,67.0,2.3,3.0,987.7
168,2014.0,1.0,14.0,2.6,-3.3,-0.2,6.1,92.8,1.3,7.3,982.0
169,2014.0,1.0,15.0,4.5,1.9,3.0,0.5,90.5,2.0,8.0,980.5
170,2014.0,1.0,16.0,7.1,1.2,3.4,0.0,79.0,0.7,6.7,983.3
171,2014.0,1.0,17.0,9.2,-0.2,3.8,1.5,80.3,0.3,6.7,979.1
172,2014.0,1.0,18.0,6.0,2.7,4.5,3.7,94.3,2.0,8.0,982.3
173,2014.0,1.0,19.0,5.8,3.2,4.4,2.6,94.5,3.7,8.0,980.0
174,2014.0,1.0,20.0,5.2,0.4,2.2,6.5,92.3,4.3,8.0,977.4
175,2014.0,1.0,21.0,0.7,-2.5,-1.2,7.3,95.3,2.0,8.0,979.5
176,2014.0,1.0,22.0,-2.2,-5.5,-4.3,0.3,86.0,1.7,8.0,985.5
177,2014.0,1.0,23.0,-4.7,-6.7,-5.8,0.0,82.3,1.7,8.0,990.8
178,2014.0,1.0,24.0,-5.4,-10.4,-8.4,0.0,80.3,4.3,8.0,990.4
179,2014.0,1.0,25.0,-10.1,-13.2,-12.1,4.7,78.0,3.0,7.7,991.1
180,2014.0,1.0,26.0,-7.3,-12.3,-10.0,1.6,77.8,1.7,7.7,984.7
181,2014.0,1.0,27.0,-5.6,-11.8,-8.7,0.5,78.5,1.7,5.3,977.8
182,2014.0,1.0,28.0,-6.1,-8.8,-7.5,0.9,78.5,4.0,8.0,977.9
183,2014.0,1.0,29.0,-5.1,-8.3,-6.6,0.0,76.5,3.3,8.0,982.0
184,2014.0,1.0,30.0,-5.5,-8.3,-7.1,0.0,75.8,3.7,8.0,990.7
185,2014.0,1.0,31.0,-1.7,-10.4,-6.1,0.0,73.0,3.0,6.3,991.1
186,2015.0,1.0,1.0,2.7,-2.8,0.2,0.6,88.5,3.3,5.7,1001.9
187,2015.0,1.0,2.0,8.5,-2.6,2.5,0.1,78.5,3.0,7.0,993.2
188,2015.0,1.0,3.0,5.3,3.2,3.9,1.1,61.0,5.3,6.7,989.8
189,2015.0,1.0,4.0,3.5,-0.7,1.2,2.3,79.8,4.0,5.3,984.9
190,2015.0,1.0,5.0,1.4,-1.3,-0.1,0.9,82.5,2.7,5.7,992.0
191,2015.0,1.0,6.0,0.1,-6.9,-3.9,0.0,64.8,1.7,1.0,997.9
192,2015.0,1.0,7.0,-4.2,-11.3,-7.8,0.2,71.5,1.0,6.7,1001.3
193,2015.0,1.0,8.0,3.4,-5.3,-0.4,3.6,76.0,1.3,7.3,997.7
194,2015.0,1.0,9.0,7.4,2.4,5.2,7.2,72.0,4.3,8.0,984.9
195,2015.0,1.0,10.0,13.4,2.4,8.7,6.7,79.8,3.7,7.0,974.8
196,2015.0,1.0,11.0,13.4,1.8,5.3,1.0,59.5,4.0,6.0,979.0
197,2015.0,1.0,12.0,5.7,1.2,3.5,0.3,77.8,3.3,7.0,987.2
198,2015.0,1.0,13.0,12.3,4.0,6.4,0.0,54.5,1.7,2.3,987.5
199,2015.0,1.0,14.0,10.4,-0.4,4.4,0.0,67.0,1.7,7.0,984.3
200,2015.0,1.0,15.0,8.3,2.0,4.0,0.0,66.3,1.7,5.7,987.3
201,2015.0,1.0,16.0,12.0,0.1,5.0,0.0,74.5,1.0,3.3,983.7
202,2015.0,1.0,17.0,14.9,0.8,6.0,6.1,75.8,1.7,6.7,982.3
203,2015.0,1.0,18.0,7.1,1.4,3.3,0.1,91.3,0.7,8.0,989.0
204,2015.0,1.0,19.0,2.9,1.8,2.4,0.0,90.5,2.3,8.0,986.6
205,2015.0,1.0,20.0,3.7,1.7,2.6,0.0,90.8,1.3,8.0,984.5
206,2015.0,1.0,21.0,6.8,1.9,3.9,0.0,85.3,1.0,7.3,986.2
207,2015.0,1.0,22.0,4.9,2.1,3.1,4.3,94.5,2.0,8.0,987.5
208,2015.0,1.0,23.0,3.7,1.3,2.2,0.3,91.0,1.7,7.7,989.2
209,2015.0,1.0,24.0,1.7,0.0,0.6,9.3,91.0,1.7,8.0,988.2
210,2015.0,1.0,25.0,0.6,-1.3,-0.8,7.7,89.8,2.3,8.0,990.4
211,2015.0,1.0,26.0,1.3,-1.4,0.0,0.1,89.0,1.0,8.0,993.9
212,2015.0,1.0,27.0,1.5,-6.9,-2.5,0.3,88.0,1.0,7.3,985.1
213,2015.0,1.0,28.0,2.3,0.7,1.4,0.0,80.0,2.3,8.0,984.0
214,2015.0,1.0,29.0,3.6,-2.2,0.7,0.0,66.0,1.0,7.0,968.5
215,2015.0,1.0,30.0,6.8,-3.0,1.9,5.7,68.8,1.7,7.0,951.6
216,2015.0,1.0,31.0,2.9,-1.2,0.3,0.0,81.3,1.7,6.7,953.6
217,2016.0,1.0,1.0,-1.8,-10.6,-7.5,0.2,79.3,1.7,2.0,998.0
218,2016.0,1.0,2.0,-7.3,-12.1,-10.2,0.0,78.0,4.0,1.3,997.7
219,2016.0,1.0,3.0,-9.4,-14.8,-12.8,0.0,80.0,2.3,2.3,991.6
220,2016.0,1.0,4.0,-7.1,-15.6,-11.3,0.0,76.8,1.7,6.0,975.0
221,2016.0,1.0,5.0,-5.1,-8.8,-6.8,1.5,83.5,1.0,8.0,972.5
222,2016.0,1.0,6.0,-0.5,-5.8,-2.9,0.0,85.5,1.3,7.7,974.6
223,2016.0,1.0,7.0,-1.5,-3.1,-2.4,0.0,87.8,1.3,8.0,974.9
224,2016.0,1.0,8.0,4.2,-3.3,-0.5,0.8,86.3,1.7,4.0,976.2
225,2016.0,1.0,9.0,4.5,-6.0,-1.5,0.0,81.5,1.3,3.7,979.4
226,2016.0,1.0,10.0,1.9,-1.9,0.2,3.8,96.8,0.7,8.0,974.1
227,2016.0,1.0,11.0,3.4,-1.0,1.2,3.7,98.0,1.0,8.0,967.2
228,2016.0,1.0,12.0,7.2,2.1,4.3,4.0,79.3,3.3,7.3,964.5
229,2016.0,1.0,13.0,5.7,1.6,3.0,2.5,85.3,2.7,7.0,974.7
230,2016.0,1.0,14.0,4.0,-0.7,0.8,0.7,73.8,1.7,5.0,984.2
231,2016.0,1.0,15.0,3.5,-1.4,0.8,1.5,82.8,2.0,7.3,977.7
232,2016.0,1.0,16.0,2.2,-3.4,-1.2,0.0,74.0,2.0,4.7,985.3
233,2016.0,1.0,17.0,-2.5,-5.5,-4.2,0.2,69.8,1.3,6.3,990.3
